"source","term_literal","term_uri","text","validation_outcome"
"/08602/d400_09","Sordo","http://data.europa.eu/c4p/data/t_81_it","Alberto Sordi e David Niven in abiti di scena con la moglie di Niven sul set del film I due nemici","reject"
"/08602/d400_10","Sordo","http://data.europa.eu/c4p/data/t_81_it","Alberto Sordi e David Niven sul set del film I due nemici","reject"
"/08611/censorship4218","Zingara","http://data.europa.eu/c4p/data/t_14_it","Vendetta di zingara
				                 
				                 Stella del Circo","accept"
"/08611/censorship43507","Carogna","http://data.europa.eu/c4p/data/t_58_it","Bastardi si nasce carogne si diventa
				                 
				                 Brave Bunch","accept"
"/08611/censorship46803","Negra","http://data.europa.eu/c4p/data/t_8_it","Addio ragazza negra
				                 
				                 Mi sorella negra
				                 
				                 Rosas blancas para mi herma negra","accept"
"/08611/censorship47180","Negro","http://data.europa.eu/c4p/data/t_7_it","ragazza dalla pelle di corallo
				                 
				                 Mayra, la venus negra","accept"
"/08611/censorship48149","Zingara","http://data.europa.eu/c4p/data/t_14_it","zingara di Alex
				                 
				                 Alex and the Gypsy","accept"
"/08611/censorship52972","Zingara","http://data.europa.eu/c4p/data/t_14_it","Jassy, la zingara
				                 
				                 Jassy","accept"
"/2048207/europeana_fashion_07419","Razza","http://data.europa.eu/c4p/data/t_12_it","razza nera","accept"
"/2051906/data_euscreenXL_PGM5024473","Nana","http://data.europa.eu/c4p/data/t_19_it","Nana Mouskouri","reject"
"/285/gam16550","Zingaro","http://data.europa.eu/c4p/data/t_13_it","Famiglia di zingari che tentano di frodare un gentiluomo","accept"
"/433/photo_003_028832_83918","Zoccola","http://data.europa.eu/c4p/data/t_54_it","Il Presidente Ciampi con il papà di Daniele Zoccola, davanti al monumento alla memoria del Finanziere","reject"
"/433/photo_003_033779_86429","Nano","http://data.europa.eu/c4p/data/t_18_it","Il Presidente Ciampi con Alfred Moisiu, Presidente della Repubblica di Albania e Fatos Nano, Primo Ministro al suo arrivo alla Residenza Presidenziale","reject"
"/446/01R0523316012003","Sordo","http://data.europa.eu/c4p/data/t_81_it","Serena Grandi e Alberto Sordi, reportage sul set di ""In nome del popolo sovrano"" (Luigi Magni, 1990)","reject"
"/446/01R0523680020002001","Nano","http://data.europa.eu/c4p/data/t_18_it","Agnese Nano, provino per la versione teatrale di ""Giulietta e Romeo"" (Franco Zeffirelli, 1992 ca.)","reject"
"/446/CCFototeca_ReDa_SC05_N_SEL1_001","Zingaro","http://data.europa.eu/c4p/data/t_13_it","Bambini zingari a Città di Castello","accept"
"/446/MI0285_AS_913_01","Nano","http://data.europa.eu/c4p/data/t_18_it","Nani, Enrico - Fotografie","reject"
"08602/VedoIL0000007876_gen17","Terrone","http://data.europa.eu/c4p/data/t_44_it","Terry Terrone su un letto mentre sfoglia un giornale. Totale","reject"
"Human","Ricchione","http://data.europa.eu/c4p/data/t_23_it","Ci sono troppi ricchioni in questo locale, andiamo via","accept"
"Human","Bastardo","http://data.europa.eu/c4p/data/t_31_it","A causa di quel bastardo di tuo fratello, mi hanno rubato il portaforgli","accept"
"Human","Vu' cumprà","http://data.europa.eu/c4p/data/t_16_it","I vu' cumprà sono sempre persenti sulle spiaggie italiane","accept"
"Human","Vu' cumprà","http://data.europa.eu/c4p/data/t_16_it","Andiamo via perche questi vu' cumprà non ci lasciano in pace","accept"
"Human","Muso giallo","http://data.europa.eu/c4p/data/t_63_it","Quei musi gialli dei nuovi vicini non mi convincono affatto","accept"
"Human","Muso giallo","http://data.europa.eu/c4p/data/t_63_it","Guarda quanti musi gialli vengono dalla Cina per studiare qui in Europa","accept"
"https://chatgpt.com/","Ricchione","http://data.europa.eu/c4p/data/t_23_it","In quella discussione, l'uomo è stato insultato e chiamato ricchione, un termine offensivo che ha suscitato indignazione tra i presenti","accept"
"https://chatgpt.com/","Amore greco","http://data.europa.eu/c4p/data/t_40_it","Il loro amore greco, nascosto e segreto, suscitava preoccupazioni tra gli altri per la sua natura proibita e ambigua","accept"
"https://chatgpt.com/","Amore greco","http://data.europa.eu/c4p/data/t_40_it","Il loro amore greco era visto con disapprovazione, poiché considerato una relazione immorale e pericolosa per la reputazione","accept"
"https://chatgpt.com/","Omofilo","http://data.europa.eu/c4p/data/t_38_it","Lui è stato accusato di essere omofilo, attirandosi critiche per le sue opinioni considerate troppo estreme e provocatorie","accept"
"https://chatgpt.com/","Mongoloide","http://data.europa.eu/c4p/data/t_20_it","L'artista ha creato un personaggio dal viso mongoloide per simboleggiare l'armonia tra tutte le razze umane","accept"
"https://chatgpt.com/","Saffico","http://data.europa.eu/c4p/data/t_39_it","In quella conversazione, l'uso del termine saffico era volto a deridere e sminuire le scelte personali delle donne","accept"
"https://chatgpt.com/","Giudea","http://data.europa.eu/c4p/data/t_4_it","La Giudea, nell'antichità, era una regione storica situata nell'area che oggi corrisponde parte di Israele e della Palestina","reject"
"https://chatgpt.com/","Extracomunitario","http://data.europa.eu/c4p/data/t_2_it","L'extracomunitario che lavora nel nostro ufficio è molto competente e ha contribuito a migliorare l'efficienza del team","accept"
"https://chatgpt.com/","Extracomunitario","http://data.europa.eu/c4p/data/t_2_it","L'extracomunitario che ha aperto il ristorante in città ha portato un tocco di cucina esotica che tutti apprezzano","accept"
"https://chatgpt.com/","Checca","http://data.europa.eu/c4p/data/t_24_it","Marco si comporta sempre come una checca, sempre troppo effeminato, a volte mi fa davvero fatica capire se sta scherzando o se è serio. A volte sembra che non riesca a essere un uomo vero","accept"
"https://chatgpt.com/","Omofilo","http://data.europa.eu/c4p/data/t_38_it","Nel suo libro, l'autore esplora la figura dell'omofilo come simbolo di apertura mentale e accettazione delle diversità culturali","accept"
"https://chatgpt.com/","Mignotta","http://data.europa.eu/c4p/data/t_50_it","La gente del paese la guardava con disprezzo, etichettandola come una mignotta per il suo comportamento immorale","accept"
"https://chatgpt.com/","Pederasta","http://data.europa.eu/c4p/data/t_41_it","Il criminale è stato arrestato per abuso su minori ed è stato etichettato come pederasta dalla società, suscitando orrore e indignazione","accept"
"https://chatgpt.com/","Terrona","http://data.europa.eu/c4p/data/t_45_it","Alcuni colleghi la chiamavano terrona, usando il termine per insultarla e deriderla per le sue origini meridionali","accept"
"https://chatgpt.com/","Vu' cumprà","http://data.europa.eu/c4p/data/t_16_it","I poliziotti hanno allontanato i vu' cumprà che stavano vendendo merce contraffatta, creando disagio tra i passant","accept"
"https://chatgpt.com/","Sodomita","http://data.europa.eu/c4p/data/t_36_it","Nel Medioevo, chi veniva accusato di essere sodomita era spesso perseguitato dalla Chiesa e dalla società, subendo gravi punizioni","accept"
"https://talkai.info/","Zoppo","http://data.europa.eu/c4p/data/t_48_it","Nella piccola comunità di Villadipace, la figura di Marco, un artigiano noto per le sue abilità eccezionali, era sempre circondata da un alone di rispetto. Tuttavia, c’era una peculiarità che spesso veniva sottovalutata: Marco era zoppo. Questa condizione, frutto di un incidente d'infanzia, contribuiva a creare un contrasto tra il suo talento e le percezioni delle persone che lo circondavano.","accept"
"https://talkai.info/","Bastardo","http://data.europa.eu/c4p/data/t_31_it","Non posso credere che tu abbia fatto una cosa del genere, sei un bastardo. Come puoi tradire così facilmente la fiducia di chi ti vuole bene? Non hai rispetto per nessuno e le tue azioni dimostrano quanto sei egoista. È veramente triste vedere fino a che punto sei disposto a scendere pur di ottenere ciò che vuoi.","accept"
"https://talkai.info/","Zoccola","http://data.europa.eu/c4p/data/t_54_it","Non posso credere che tu abbia detto quelle cose. Chiamare qualcuno 'zoccola' non solo è offensivo, ma dimostra anche una mancanza di rispetto. Dobbiamo imparare a comunicare in modo più civile e a evitare insulti che possono ferire profondamente","accept"
"https://talkai.info/","Extracomunitario","http://data.europa.eu/c4p/data/t_2_it","Molti sostengono che gli extracomunitari stiano rubando posti di lavoro agli italiani","accept"
"https://talkai.info/","Extracomunitario","http://data.europa.eu/c4p/data/t_2_it","Non voglio che il mio bambino giochi con un extracomunitario, perché non so nulla della sua famiglia","accept"
"https://talkai.info/","Mignotta","http://data.europa.eu/c4p/data/t_50_it","Non dovresti fidarti di lei, perché la gente la considera una mignotta","accept"
"https://talkai.info/","Vu' cumprà","http://data.europa.eu/c4p/data/t_16_it","Non voglio essere disturbato da un vu' cumprà che cerca di vendermi qualcosa che non mi interessa.","accept"
"https://talkai.info/","Mongoloide","http://data.europa.eu/c4p/data/t_20_it","Nel suo libro, l'autore descrive vari tratti delle popolazioni mongoloidi e la loro influenza sulla cultura asiatica","accept"
"https://talkai.info/","Mongoloide","http://data.europa.eu/c4p/data/t_20_it","La sua attitudine era così chiusa e ignorante che molti lo consideravano mongoloide.","accept"
"https://talkai.info/","Mongoloide","http://data.europa.eu/c4p/data/t_20_it","Non posso credere che abbia usato un linguaggio così mongoloide durante la riunione","accept"
"https://talkai.info/","Nano","http://data.europa.eu/c4p/data/t_18_it","Il piccolo nano del deserto, una rara specie di rettile, si camuffa perfettamente tra le rocce e la sabbia. Grazie alle sue dimensioni ridotte e alla sua pelle mimetica, riesce a sfuggire ai predatori e a cercare cibo nel suo habitat arido. Questo affascinante animale dimostra che, anche in un ambiente così ostile, la natura riesce a trovare modi ingegnosi per sopravvivere.","reject"
"https://talkai.info/","Nano","http://data.europa.eu/c4p/data/t_18_it","Il coniglio nano è una delle razze più amate dagli appassionati di animali domestici. Grazie alle sue piccole dimensioni e al suo carattere affettuoso, il coniglio nano si adatta facilmente alla vita in appartamento. Questi piccoli amici possono pesare solo 1-2 kg e sono disponibili in diverse varianti di colore. Richiedono attenzioni particolari, come una dieta equilibrata e spazi per correre e giocare. La loro vivacità e curiosità li rendono compagni ideali per famiglie e bambini.","reject"
"https://talkai.info/","Omofilo","http://data.europa.eu/c4p/data/t_38_it","Il gruppo di attivisti omofili lavora per la promozione dei diritti civili e l'uguaglianza per tutti.","accept"
"https://talkai.info/","Sodomita","http://data.europa.eu/c4p/data/t_36_it","Il villaggio disapprovava l'uomo che viveva come un sodomita, considerandolo una vergogna per la comunità","accept"
"https://talkai.info/","Checca","http://data.europa.eu/c4p/data/t_24_it","Non mi piace quella checca che si comporta sempre in modo così ostentato, come se avesse qualcosa da dimostrare a tutti. È ridicolo vedere come cerca di attirare l'attenzione in ogni situazione","accept"
"https://talkai.info/","Omofilo","http://data.europa.eu/c4p/data/t_38_it","Il suo comportamento omofilo in pubblico ha suscitato molte polemiche nella comunità conservatrice.","accept"
"https://talkai.info/","Ricchione","http://data.europa.eu/c4p/data/t_23_it","Non ascoltarlo, parla come un ricchione","accept"
"https://talkai.info/","Bagascia","http://data.europa.eu/c4p/data/t_68_it","La sua reputazione è rovinata, tutti la considerano una bagascia per il suo comportamento inappropriato.","accept"
"https://talkai.info/","Ricchione","http://data.europa.eu/c4p/data/t_23_it","Non accetto mai i commenti offensivi come quelli che fa lui sui ricchioni.","accept"
"https://talkai.info/","Bagascia","http://data.europa.eu/c4p/data/t_68_it","Quella bagascia ha rovinato la reputazione della nostra famiglia","accept"
"https://talkai.info/","Cafone","http://data.europa.eu/c4p/data/t_52_it","Durante la cena, Laura non poteva fare a meno di notare il comportamento della sua vicina di tavolo. Ogni volta che si alzava per andare al buffet, si comportava in modo così cafone, nel prendere cibo senza alcun riguardo per gli altri. ","accept"
"https://talkai.info/","Sodomita","http://data.europa.eu/c4p/data/t_36_it","Durante la ricerca sulla storia della cultura, gli studiosi hanno analizzato il significato del termine 'sodomita' in epoche diverse.","reject"
"https://talkai.info/","Sodomita","http://data.europa.eu/c4p/data/t_36_it","Nel libro si parla di un personaggio sodomita che vive liberamente la propria identità.","accept"
"https://talkai.info/","Pederasta","http://data.europa.eu/c4p/data/t_41_it","Il pederasta è una persona pericolosa che sfrutta l'innocenza dei bambini per i propri scopi illeciti.","accept"
"https://talkai.info/","Pederasta","http://data.europa.eu/c4p/data/t_41_it","Nel contesto di uno studio sociologico, l'indagine sui comportamenti pederastici viene condotta per capire meglio le dinamiche sociali","accept
"
"https://talkai.info/","Pederasta","http://data.europa.eu/c4p/data/t_41_it","È inaccettabile che un pederasta possa avvicinarsi ai bambini senza alcuna sanzione","accept"
"https://talkai.info/","Terrona","http://data.europa.eu/c4p/data/t_45_it","Non mi piace quando alle riunioni si riferiscono a lei come a una terrona, è irrispettoso.","accept"
"https://www.europeana.eu/en/item/2058606/bw5ne5_ThumbJpeg_ashx_WEBIDS_FNBN1581_Pixels_0","Storpio","http://data.europa.eu/c4p/data/t_33_it","Calendario : pro Federazione Nazionale dei Comitati di Assistenza ai militari ciechi, storpi e mutilati","accept"
"https://www.europeana.eu/en/item/2059218/data_sounds_IT_DDS0000014606001300","Bastarda","http://data.europa.eu/c4p/data/t_32_it","Personaggi e interpreti: basso di viola ; Nasillo, Gaetano. viola bastarda ; Balestracci, Guido. violone ; Guerrini, Remo. vla da gamba alto ; Quintana, Juan Manuel. vla da gamba soprano ; Pandolfo, Paolo. vla da gamba tenore ; Balestracci, Guido","reject"
"https://www.europeana.eu/en/item/433/photo_003_034742_86951","Zoccola","http://data.europa.eu/c4p/data/t_54_it","Il Presidente Ciampi consegna due Medaglie d'Oro al Valor Civile alla memoria ai Finanzieri Daniele Zoccola e Salvatore De Rosa, in occasione del 228° anniversario di fondazione del Corpo della Guardia di Finanza","reject"
"https://www.europeana.eu/en/item/446/FOG423770","Bastarda","http://data.europa.eu/c4p/data/t_32_it","FIDA Cinematografica presenta Robert Shaw, Telly Savalas in Una cittá chiamata bastarda con Stella Stevens, Fernando Rey ... [et al.], un film di Robert Parrish. Technicolor, Techniscope, a Benmar production","reject"
"https://www.europeana.eu/en/item/446/MI0285_LLET013225","Giudea","http://data.europa.eu/c4p/data/t_4_it","Lettera ; Prima dell'incipit: Menziona Gallo che è ""in furore"" per l'ultima lettera di Tito; ribadisce che la Spezia è assolutamente adatta per l'opera e che rappresenta l'""incarnazione del pensiero"" di Dumas, di Verdi e anche del suo; fa riferimento a una circostanza che ha a che vedere con [Verdi?] e un ""ricco giudeo"" [Mujerheny]; gli chiede di fare le valigie di recarsi là a vedere la Spezia; Cita Cerri per questioni epistolari con Gallo; Incipit: Ho già fatto quattro gran prove della Traviata e questa sera faremo la generale più per formalità che per bisogno; D.S.: (a margine del testo) Cita Landi e Coletti e ne esalta la bravura ai fini dell'esito dell'opera. Fa parte di: Fondo Corrispondenza","accept"
"https://www.europeana.eu/en/item/446/MIL0868572","Zoccola","http://data.europa.eu/c4p/data/t_54_it","Il Cuore O La Strada: Napule E' Na Zoccola","accept"
"https://www.europeana.eu/en/item/446/RML0195292","Giudea","http://data.europa.eu/c4p/data/t_4_it","Titolo attribuito ; Stampa raffigurante: L'imperatore in piedi sul cocchio, sfila trionfalmente per la via Sacra nel foro romano, a fianco dell'arco di Tito, fra ali di folla. Lo precedono prigionieri incatenati e prigionieri che trasportano a spalla un modello del tempio di Gerusalemme, un calendabro a sette bracci e altri simboli giudei. La scena sembrerebbe rappresentare il trionfo di Tito dopo la vittoria riportata sui Giudei e la caduta di Gerusalemme avvenuta nel 70 d.C.","accept"
"https://www.europeana.eu/en/item/446/RML0218029","Storpio","http://data.europa.eu/c4p/data/t_33_it","L'incisione è stata realizzata nel XVI secolo ; Stampa raffigurante S. Elisabetta d'Ungheria che visita gli ammalati: in un interno dalle alte pareti e finestre (un ospedale) la Santa in piedi al centro della scena, è circondata da uomini e donne, malati e storpi, che le si rivolgono con gesti di supplica e gratitudine. In primo piano sulla destra una donna con il suo bambino in braccio siede a terra. Sullo sfondo in un'altra stanza alcune figure giacciono distese su letti","accept"
"https://www.europeana.eu/en/item/447/GEO0018471","Giudea","http://data.europa.eu/c4p/data/t_4_it","Donzella giudea d'Adrianopoli","accept"
"https://www.europeana.eu/it/item/02301/urn_imss_indepth_100380","Zoppo","http://data.europa.eu/c4p/data/t_48_it","Nonostante la sua abilità nel lavoro, molti lo considerano zoppo a causa delle poche volte in cui ha sbagliato. È strano come la gente si concentri solo sugli errori, ignorando il suo impegno e le sue competenze. Forse il vero problema è che viviamo in una società che giudica le persone superficialmente, creando etichette come 'zoppo' che possono danneggiare la reputazione di chi cerca di dare il massimo.""","accept"
"https://www.europeana.eu/it/item/08602/AlbaniaAL6945","Zingaro","http://data.europa.eu/c4p/data/t_13_it","Villaggio di zingari ai margini del centro abitato","accept"
"https://www.europeana.eu/it/item/08602/AttualitaA00172861","Handicappato","http://data.europa.eu/c4p/data/t_46_it","Roma Foto di gruppo di bambini poveri nel quartiere di Tor Marancia; uno di loro tiene in braccio un bambino più piccolo gravemente handicappato agli arti inferiori","accept"
"https://www.europeana.eu/it/item/08602/AttualitaA28_004404","Persona di colore","http://data.europa.eu/c4p/data/t_15_it","Folla di bambini e adulti lungo il binario di una stazione. In secondo piano fila di persone di colore agita bandierine tricolori. Scorcio dall'alto in campo medio","accept"
"https://www.europeana.eu/it/item/08602/D314_39","Nano","http://data.europa.eu/c4p/data/t_18_it","Virna Lisi, con una coppetta di gelato in mano, accanto ad un nano vestito da clown","accept"
"https://www.europeana.eu/it/item/08602/D314_42","Nano","http://data.europa.eu/c4p/data/t_18_it","Virna Lisi, con una coppetta di gelato in mano, accanto ad un nano vestito da clown","accept"
"https://www.europeana.eu/it/item/08602/IL3000050437","Handicappato","http://data.europa.eu/c4p/data/t_46_it","7 - mutilatini di Don Orione, sebbene handicappati, impegnati nella lavorazione e decorazione della ceramiche;","accept"
"https://www.europeana.eu/it/item/08602/IL3000051304","Nano","http://data.europa.eu/c4p/data/t_18_it","27 - uno degli sciatori della comitiva è mostruosamente alto, accanto ad un amico lo fa sembrare un nano","accept"
"https://www.europeana.eu/it/item/08602/IL3000051384","Handicappato","http://data.europa.eu/c4p/data/t_46_it","9 - una mamma con la figlia, la signora porta l'ombrello, ed un uomo su una carrozzella per handicappati passeggiano in un giardino","accept"
"https://www.europeana.eu/it/item/08602/IL3000051838","Razza","http://data.europa.eu/c4p/data/t_12_it","usi e costumi della popolazione degli alfuri, razza mista di  malesi e papuasi, che vive in una delle isole Molucche","accept"
"https://www.europeana.eu/it/item/08602/IL3000051955","Fesso","http://data.europa.eu/c4p/data/t_56_it","3 - il signore si rivolge all'ospite dandogli del fesso di guerra","accept"
"https://www.europeana.eu/it/item/08602/IL3000051958","Fesso","http://data.europa.eu/c4p/data/t_56_it","10 - il giovane lo apostrofa con fesso di guerra, gli altri clienti intonano  buu e ridono","accept"
"https://www.europeana.eu/it/item/08602/IL3000051958","Fesso","http://data.europa.eu/c4p/data/t_56_it","Il fesso di guerra  2.","accept"
"https://www.europeana.eu/it/item/08602/IL3000052211","Handicappato","http://data.europa.eu/c4p/data/t_46_it","23 - figli handicappati di madre sifilitica;","accept"
"https://www.europeana.eu/it/item/08602/IL3000052307","Razza","http://data.europa.eu/c4p/data/t_12_it","20 - la popolazione è di razza asiatica: hanno gli occhi a mandorla e la carnagione olivastra","accept"
"https://www.europeana.eu/it/item/08602/IL3000052336","Persona di colore","http://data.europa.eu/c4p/data/t_15_it","81 - nel commento parlato, che simula le voci degli atleti che dichiarano il   proprio salto, si sente la voce del saltatore statunitense con l'espressione   forzata tipica del doppiaggio di allora nei riguardi di persone di colore","accept"
"https://www.europeana.eu/it/item/08602/IL3000052552","Razza","http://data.europa.eu/c4p/data/t_12_it","24 - prigionieri britannici di razza indiana con tipici turbanti","accept"
"https://www.europeana.eu/it/item/08602/IL3000052604","Persona di colore","http://data.europa.eu/c4p/data/t_15_it","316 - la collera delle persone di colore esplode in tutta gli USA, manifestazioni   di piazza con distruzione ed incendi di negozi e razzie","accept"
"https://www.europeana.eu/it/item/08602/IL3000052634","Persona di colore","http://data.europa.eu/c4p/data/t_15_it","18 - fotografie di persone di colore uccise riverse in terra","accept"
"https://www.europeana.eu/it/item/08602/IL3000052748","Persona di colore","http://data.europa.eu/c4p/data/t_15_it","63 - altre fasi di un ballo in costume di persone di colore","accept"
"https://www.europeana.eu/it/item/08602/IL3000052943","Persona di colore","http://data.europa.eu/c4p/data/t_15_it","29 - le immagini scorrono sulle cure mediche prestate dagli italiani alle   persone di colore","accept"
"https://www.europeana.eu/it/item/08602/IL3000082765","Bonzo","http://data.europa.eu/c4p/data/t_51_it","3 - soldati sollevano di peso i bonzi che facevano un sit-in strada","reject"
"https://www.europeana.eu/it/item/08602/IL3000083362","Nano","http://data.europa.eu/c4p/data/t_18_it","20 - riempie di colore gli stampini che raffigurano le manine di un nano quindi li mette in un fornetto","accept"
"https://www.europeana.eu/it/item/08602/IL3000084169","Razza","http://data.europa.eu/c4p/data/t_12_it","316 - sopra le vedute di un paesaggio di campagna si legge la scritta: ""Bisogna   curare la razza e cominciare dalla maternità e dalla infanzia. Mussolini""","accept"
"https://www.europeana.eu/it/item/08602/IL3000084990","Razza","http://data.europa.eu/c4p/data/t_12_it","168 - giovani atleti di razze diverse si incontrano e nonostante le lingue   molteplice gli atleti trovano modo di divertirsi insieme","accept"
"https://www.europeana.eu/it/item/08602/IL3000085513","Razza","http://data.europa.eu/c4p/data/t_12_it","33 - didascalia: ""Aquileia. Fondata nell'anno 181 avanti Cristo fu un emporio ricchissimo dove...le Razze più lontane dell'Impero si fusero più che nella stessa Roma. La Galleria lapidaria...""","accept"
"https://www.europeana.eu/it/item/08602/IL3000088040","Prostituta","http://data.europa.eu/c4p/data/t_29_it","25 - giovani donne si sporgono dal balcone di una casa, forse si tratta di   prostitute","accept"
"https://www.europeana.eu/it/item/08602/IL3000088582","Razza","http://data.europa.eu/c4p/data/t_12_it","162 - tutte le nazioni, tutte le razze per stare insieme, contribuiscono alla festa   alcuni atleti neri con tamburello e chitarra","accept"
"https://www.europeana.eu/it/item/08602/IL3000088803","Razza","http://data.europa.eu/c4p/data/t_12_it","Il documentario riguarda le isole Bagiuni, nell'oceano Indiano, di fronte alla Somalia, dove vive una razza di origine malese, in via di estinzione, che conduce una vita pacifica, primitiva, lontana da ogni rapporto di civiltà. Le donne sono famose per le danze frenetiche, mentre gli uomini per la caccia al pescecane col coltello. In queste isole si trovano, poi, tracce di Vasco De Gama che vi approdò e vi soggiornò a lungo.","accept"
"https://www.europeana.eu/it/item/08602/IL3000090280","Invertito","http://data.europa.eu/c4p/data/t_25_it","72 - manifesto di Ordine Nuovo affisso sui muri in cui si parla letteralmente di ""invertiti prostitute ruffiani teppisti rapinatori""","accept"
"https://www.europeana.eu/it/item/08602/IL3000091342","Immigrato","http://data.europa.eu/c4p/data/t_5_it","7 - le cosiddette ""casermette"", un tempo  luogo di ricovero degli sfollati, poi di passaggio per gli immigrati appena giunti dal Sud","accept"
"https://www.europeana.eu/it/item/08602/IL5000009632","Nano","http://data.europa.eu/c4p/data/t_18_it","4 - nani all'assalto del buffet","accept"
"https://www.europeana.eu/it/item/08602/IL5000010155","Clandestino","http://data.europa.eu/c4p/data/t_1_it","4 - recupero profughi clandestini","accept"
"https://www.europeana.eu/it/item/08602/IL5000017721","Nano","http://data.europa.eu/c4p/data/t_18_it","2 - un nano fa le capriole vestito da colwn","accept"
"https://www.europeana.eu/it/item/08602/IL5000019056","Razza","http://data.europa.eu/c4p/data/t_12_it","4 - volti di uomini di diverse razze presenti alla manifestazione religiosa","accept"
"https://www.europeana.eu/it/item/08602/IL5000020031","Razza","http://data.europa.eu/c4p/data/t_12_it","1 - un adulto apre la porta del suo appartamento e entrano un gruppo di bambini di razze diverse","accept"
"https://www.europeana.eu/it/item/08602/IL5000023279","Negro","http://data.europa.eu/c4p/data/t_7_it","14 - messa a fuoco delle teste in pietra di Modigliani influenzate dall'arte negra.","accept"
"https://www.europeana.eu/it/item/08602/IL5000023450","Nano","http://data.europa.eu/c4p/data/t_18_it","clown nano salta su una fila di botti con i pattini ai piedi","accept"
"https://www.europeana.eu/it/item/08602/IL5000027367","Negro","http://data.europa.eu/c4p/data/t_7_it","1 - ""Contestazione anche per i premi letterari in quest'anno di proteste facili"": Calvino, proclamato vincitore per il suo ""Ti con zero"" rifiuta il premio. Il premio andrà a Libero Bigiaretti per il suo ""La controfigura"". Gli altri premi: Procacci per ""storia degli Italiani"", Cattaneo per ""Luomo della verità"", Vigolo. Novità nella manifestazione: istituito il Viareggio internazionale, vinto dal poeta negro Aimé Cesaire..","accept"
"https://www.europeana.eu/it/item/08602/IL5000028538","Zingaro","http://data.europa.eu/c4p/data/t_13_it","""URSS. Artisti zingari""","accept"
"https://www.europeana.eu/it/item/08602/IL5000029099","Nano","http://data.europa.eu/c4p/data/t_18_it","3 - la coppia di sposi nani esce dalla chiesa","accept"
"https://www.europeana.eu/it/item/08602/IL5000029543","Nano","http://data.europa.eu/c4p/data/t_18_it","3 - la giraffa di pezza insegue un nano vestito alla turca","accept"
"https://www.europeana.eu/it/item/08602/IL5000029711","Negro","http://data.europa.eu/c4p/data/t_7_it","6 - un negro sul davanzale di una finestra","accept"
"https://www.europeana.eu/it/item/08602/IL5000031587","Nano","http://data.europa.eu/c4p/data/t_18_it","4 - gli sposi in mezzo agli invitati anch'essi nani","accept"
